0000000001,00110000
0000000110,00100010
0000001111,00110101
0000000011,00010000
0000000100,00010001
0000001101,00000100
0000000111,00010010
0000001000,00010000
0000001001,00000001
0000001010,00000000
0000001110,00100001
0000000010,00010000
0000001100,00010010
0000010000,00000011
0000010001,00010011
0000010100,00100001
0000010111,00010000
0000010010,00100000
0000010011,00000010
0000100000,01000000
0000100110,00010010
0000101111,00010000
0000100011,00010000
0000100100,01100000
0000101101,00010000
0000100111,00100000
0000101000,01010000
0000101001,00100000
0000101010,00100001
0000101110,00000000
0000100010,00110001
0000101100,01000011
0000110000,00010010
0000110001,00000001
0000110100,01000000
0000110111,00010001
0000110010,00100001
0000110011,00100000
0011000000,01010001
0011000001,01000001
0011001111,01000010
0011000011,00110001
0011000100,00100000
0011001101,01000000
0011000111,01100001
0011001000,00100000
0011001001,00010000
0011001010,01000001
0011001110,01010000
0011000010,01010001
0011001100,00110001
0011010000,00100010
0011010001,01010001
0011010100,00100001
0011010111,00010000
0011010010,00100001
0011010011,00110001
0111100000,00010001
0111100001,00100100
0111100110,00010010
0111100011,00010000
0111100100,00010001
0111101101,00010000
0111100111,00000000
0111101000,00010010
0111101001,00100000
0111101010,00110000
0111101110,00010010
0111100010,00100001
0111101100,00010010
0111110000,00010000
0111110001,00100000
0111110100,00110011
0111110111,00010000
0111110010,00000000
0111110011,01000000
0001100000,00010001
0001100001,00010011
0001100110,00100010
0001101111,00000001
0001100100,00010001
0001101101,00010000
0001100111,00100001
0001101000,00100001
0001101001,00010001
0001101010,00000001
0001101110,00010001
0001100010,00100000
0001101100,00000010
0001110000,00010010
0001110001,00010001
0001110100,00100000
0001110111,00000001
0001110010,00110001
0001110011,00100001
0010000000,00010001
0010000001,00000000
0010000110,01000101
0010001111,00100011
0010000011,00110001
0010001101,00100000
0010000111,00010001
0010001000,00000011
0010001001,00000010
0010001010,00010000
0010001110,00010000
0010000010,00100000
0010001100,00000000
0010010000,00010010
0010010001,00000001
0010010100,00000010
0010010111,00100011
0010010010,00000000
0010010011,00110010
0110100000,00110011
0110100001,00000001
0110100110,00000010
0110101111,00010000
0110100011,00010000
0110100100,00100000
0110100111,00000010
0110101000,00000001
0110101001,00110010
0110101010,00000000
0110101110,00110010
0110100010,00000011
0110101100,00110010
0110110000,00010001
0110110001,00100010
0110110100,00100010
0110110111,00110011
0110110010,00000000
0110110011,00010010
0011100000,00010000
0011100001,00000000
0011100110,00010100
0011101111,00100100
0011100011,00110001
0011100100,00110001
0011101101,00000010
0011101000,00100010
